sex,age,age_group,age_group_id,site,site_id
1,24.45,adult,2,PITT,9
1,19.09,adult,2,PITT,9
2,13.73,adolescent,1,PITT,9
1,13.37,adolescent,1,PITT,9
1,17.78,adolescent,1,PITT,9
1,32.45,adult,2,PITT,9
1,35.2,adult,2,PITT,9
1,16.93,adolescent,1,PITT,9
1,21.48,adult,2,PITT,9
1,9.33,child,0,PITT,9
1,14.2,adolescent,1,PITT,9
1,14.2,adolescent,1,PITT,9
1,21.82,adult,2,PITT,9
1,20.83,adult,2,PITT,9
1,16.99,adolescent,1,PITT,9
2,12.64,child,0,PITT,9
1,22.64,adult,2,PITT,9
1,31.72,adult,2,PITT,9
1,16.28,adolescent,1,PITT,9
1,12.24,child,0,PITT,9
1,12.74,child,0,PITT,9
1,25.12,adult,2,PITT,9
1,12.92,child,0,PITT,9
1,19.8,adult,2,PITT,9
1,12.15,child,0,PITT,9
1,14.77,adolescent,1,PITT,9
1,17.36,adolescent,1,PITT,9
2,13.28,adolescent,1,PITT,9
1,19.16,adult,2,PITT,9
2,13.95,adolescent,1,PITT,9
1,30.66,adult,2,PITT,9
1,24.6,adult,2,PITT,9
1,27.92,adult,2,PITT,9
1,33.17,adult,2,PITT,9
1,13.78,adolescent,1,PITT,9
1,17.13,adolescent,1,PITT,9
1,15.7,adolescent,1,PITT,9
1,20.65,adult,2,PITT,9
1,15.35,adolescent,1,PITT,9
1,11.81,child,0,PITT,9
2,15.82,adolescent,1,PITT,9
1,14.37,adolescent,1,PITT,9
1,12.83,child,0,PITT,9
1,33.24,adult,2,PITT,9
1,12.03,child,0,PITT,9
1,9.44,child,0,PITT,9
1,13.59,adolescent,1,PITT,9
2,12.62,child,0,PITT,9
2,21.22,adult,2,PITT,9
1,20.34,adult,2,PITT,9
1,14.0,adolescent,1,OLIN,8
1,14.0,adolescent,1,OLIN,8
1,16.0,adolescent,1,OLIN,8
1,17.0,adolescent,1,OLIN,8
1,10.0,child,0,OLIN,8
1,21.0,adult,2,OLIN,8
1,20.0,adult,2,OLIN,8
1,14.0,adolescent,1,OLIN,8
1,17.0,adolescent,1,OLIN,8
2,15.0,adolescent,1,OLIN,8
2,20.0,adult,2,OLIN,8
1,23.0,adult,2,OLIN,8
1,15.0,adolescent,1,OLIN,8
1,21.0,adult,2,OLIN,8
1,15.0,adolescent,1,OLIN,8
2,19.0,adult,2,OLIN,8
1,20.0,adult,2,OLIN,8
1,17.0,adolescent,1,OLIN,8
1,18.0,adolescent,1,OLIN,8
2,24.0,adult,2,OLIN,8
2,14.0,adolescent,1,OLIN,8
1,16.0,adolescent,1,OLIN,8
1,12.0,child,0,OLIN,8
1,18.0,adolescent,1,OLIN,8
1,21.0,adult,2,OLIN,8
1,16.0,adolescent,1,OLIN,8
1,18.0,adolescent,1,OLIN,8
1,12.0,child,0,OLIN,8
1,13.99,adolescent,1,OHSU,7
1,13.79,adolescent,1,OHSU,7
1,10.22,child,0,OHSU,7
1,10.75,child,0,OHSU,7
1,8.0,child,0,OHSU,7
1,11.35,child,0,OHSU,7
1,12.65,child,0,OHSU,7
1,12.32,child,0,OHSU,7
1,9.42,child,0,OHSU,7
1,9.73,child,0,OHSU,7
1,9.72,child,0,OHSU,7
1,15.23,adolescent,1,OHSU,7
1,10.5,child,0,OHSU,7
1,11.55,child,0,OHSU,7
1,10.29,child,0,OHSU,7
1,11.45,child,0,OHSU,7
1,9.15,child,0,OHSU,7
1,8.94,child,0,OHSU,7
1,9.4,child,0,OHSU,7
1,8.86,child,0,OHSU,7
1,10.08,child,0,OHSU,7
1,9.69,child,0,OHSU,7
1,11.99,child,0,OHSU,7
1,10.53,child,0,OHSU,7
1,10.64,child,0,OHSU,7
1,16.61,adolescent,1,SDSU,11
1,14.14,adolescent,1,SDSU,11
1,17.15,adolescent,1,SDSU,11
1,12.13,child,0,SDSU,11
1,16.48,adolescent,1,SDSU,11
1,15.4,adolescent,1,SDSU,11
1,16.64,adolescent,1,SDSU,11
1,13.99,adolescent,1,SDSU,11
1,14.75,adolescent,1,SDSU,11
1,13.35,adolescent,1,SDSU,11
1,12.58,child,0,SDSU,11
1,12.91,child,0,SDSU,11
1,15.28,adolescent,1,SDSU,11
1,15.53,adolescent,1,SDSU,11
1,13.88,adolescent,1,SDSU,11
2,13.77,adolescent,1,SDSU,11
1,12.08,child,0,SDSU,11
1,16.05,adolescent,1,SDSU,11
1,14.86,adolescent,1,SDSU,11
2,14.1,adolescent,1,SDSU,11
2,8.67,child,0,SDSU,11
2,13.78,adolescent,1,SDSU,11
1,16.6,adolescent,1,SDSU,11
2,12.38,child,0,SDSU,11
1,14.76,adolescent,1,SDSU,11
2,16.88,adolescent,1,SDSU,11
1,12.9,child,0,SDSU,11
1,23.08,adult,2,TRINITY,13
1,20.75,adult,2,TRINITY,13
1,15.66,adolescent,1,TRINITY,13
1,19.16,adult,2,TRINITY,13
1,21.42,adult,2,TRINITY,13
1,17.03,adolescent,1,TRINITY,13
1,15.05,adolescent,1,TRINITY,13
1,17.17,adolescent,1,TRINITY,13
1,13.75,adolescent,1,TRINITY,13
1,21.58,adult,2,TRINITY,13
1,12.0,child,0,TRINITY,13
1,13.58,adolescent,1,TRINITY,13
1,13.83,adolescent,1,TRINITY,13
1,13.91,adolescent,1,TRINITY,13
1,17.25,adolescent,1,TRINITY,13
1,15.25,adolescent,1,TRINITY,13
1,18.01,adult,2,TRINITY,13
1,19.41,adult,2,TRINITY,13
1,14.41,adolescent,1,TRINITY,13
1,14.91,adolescent,1,TRINITY,13
1,19.83,adult,2,TRINITY,13
1,20.33,adult,2,TRINITY,13
1,20.08,adult,2,TRINITY,13
1,21.33,adult,2,TRINITY,13
1,19.08,adult,2,TRINITY,13
1,25.66,adult,2,TRINITY,13
